From_ID,Origin,To_ID,Destination,Time
KG26,Taman Connaught,KJ3,Wangsa Maju,50
KG27,Taman Suntex,KJ3,Wangsa Maju,48
KG28,Sri Raya,KJ3,Wangsa Maju,44
KG29,Bandar Tun Hussein Onn,KJ3,Wangsa Maju,42
KG30,Batu 11 Cheras,KJ3,Wangsa Maju,40
KG31,Bukit Dukung,KJ3,Wangsa Maju,38
KG33,Sungai Jernih,KJ3,Wangsa Maju,34
KG34,Stadium Kajang,KJ3,Wangsa Maju,30
KG35,Kajang,KJ3,Wangsa Maju,59
KJ1,Gombak,KJ4,Sri Rampai,9
KJ2,Taman Melati,KJ4,Sri Rampai,6
KJ3,Wangsa Maju,KJ4,Sri Rampai,2
KJ4,Sri Rampai,KJ4,Sri Rampai,0
KJ5,Setiawangsa,KJ4,Sri Rampai,6
KJ6,Jelatek,KJ4,Sri Rampai,8
KJ7,Dato' Keramat,KJ4,Sri Rampai,9
KJ8,Damai,KJ4,Sri Rampai,10
KJ9,Ampang Park,KJ4,Sri Rampai,12
KJ10,KLCC,KJ4,Sri Rampai,13
KJ11,Kampung Baru,KJ4,Sri Rampai,15
KJ12,Dang Wangi,KJ4,Sri Rampai,17
KJ13,Masjid Jamek (KJL),KJ4,Sri Rampai,19
KJ14,Pasar Seni (KJL),KJ4,Sri Rampai,20
KJ15,KL Sentral (KJL),KJ4,Sri Rampai,23
KJ16,Bangsar,KJ4,Sri Rampai,25
KJ17,Abdullah Hukum,KJ4,Sri Rampai,28
KJ18,Kerinchi,KJ4,Sri Rampai,29
KJ19,Universiti,KJ4,Sri Rampai,31
KJ20,Taman Jaya,KJ4,Sri Rampai,35
KJ21,Asia Jaya,KJ4,Sri Rampai,37
KJ22,Taman Paramount,KJ4,Sri Rampai,40
KJ23,Taman Bahagia,KJ4,Sri Rampai,43
KJ24,Kelana Jaya,KJ4,Sri Rampai,45
KJ25,Lembah Subang,KJ4,Sri Rampai,48
KJ26,Ara Damansara,KJ4,Sri Rampai,50
KJ27,Glenmarie,KJ4,Sri Rampai,53
KJ28,Subang Jaya,KJ4,Sri Rampai,54
KJ29,SS 15,KJ4,Sri Rampai,58
KJ30,SS 18,KJ4,Sri Rampai,60
KJ31,USJ 7 (KJL),KJ4,Sri Rampai,63
KJ32,Taipan,KJ4,Sri Rampai,64
KJ33,Wawasan,KJ4,Sri Rampai,67
KJ34,USJ 21,KJ4,Sri Rampai,69
KJ35,Alam Megah,KJ4,Sri Rampai,72
KJ36,Subang Alam,KJ4,Sri Rampai,75
KJ37,Putra Heights (KJL),KJ4,Sri Rampai,79
KG4,Sungai Buloh,KJ4,Sri Rampai,54
KG5,Kampung Selamat,KJ4,Sri Rampai,51
KG5A,Kwasa Damansara,KJ4,Sri Rampai,46
KG6,Kwasa Sentral,KJ4,Sri Rampai,44
KG7,Kota Damansara,KJ4,Sri Rampai,40
KG8,Surian,KJ4,Sri Rampai,38
KG9,Mutiara Damansara,KJ4,Sri Rampai,36
KG10,Bandar Utama,KJ4,Sri Rampai,34
KG12,TTDI,KJ4,Sri Rampai,30
KG12A,Phileo Damansara,KJ4,Sri Rampai,26
KG13,Pusat Bandar Damansara,KJ4,Sri Rampai,55
KG14,Semantan,KJ4,Sri Rampai,52
KG15,Muzium Negara,KJ4,Sri Rampai,47
KG16,Pasar Seni (SBK),KJ4,Sri Rampai,45
KG17,Merdeka,KJ4,Sri Rampai,41
KG18A,Bukit Bintang,KJ4,Sri Rampai,39
KG20,Tun Razak Exchange (TRX),KJ4,Sri Rampai,37
KG21,Cochrane,KJ4,Sri Rampai,35
KG22,Maluri (SBK),KJ4,Sri Rampai,31
KG23,Taman Pertama,KJ4,Sri Rampai,27
KG24,Taman Midah,KJ4,Sri Rampai,56
KG25,Taman Mutiara,KJ4,Sri Rampai,53
KG26,Taman Connaught,KJ4,Sri Rampai,48
KG27,Taman Suntex,KJ4,Sri Rampai,46
KG28,Sri Raya,KJ4,Sri Rampai,42
KG29,Bandar Tun Hussein Onn,KJ4,Sri Rampai,40
KG30,Batu 11 Cheras,KJ4,Sri Rampai,38
KG31,Bukit Dukung,KJ4,Sri Rampai,36
KG33,Sungai Jernih,KJ4,Sri Rampai,32
KG34,Stadium Kajang,KJ4,Sri Rampai,28
KG35,Kajang,KJ4,Sri Rampai,57
KJ1,Gombak,KJ5,Setiawangsa,15
KJ2,Taman Melati,KJ5,Setiawangsa,12
KJ3,Wangsa Maju,KJ5,Setiawangsa,8
KJ4,Sri Rampai,KJ5,Setiawangsa,6
KJ5,Setiawangsa,KJ5,Setiawangsa,0
KJ6,Jelatek,KJ5,Setiawangsa,2
KJ7,Dato' Keramat,KJ5,Setiawangsa,3
KJ8,Damai,KJ5,Setiawangsa,4
KJ9,Ampang Park,KJ5,Setiawangsa,6
KJ10,KLCC,KJ5,Setiawangsa,7
KJ11,Kampung Baru,KJ5,Setiawangsa,9
KJ12,Dang Wangi,KJ5,Setiawangsa,11
KJ13,Masjid Jamek (KJL),KJ5,Setiawangsa,13
KJ14,Pasar Seni (KJL),KJ5,Setiawangsa,14
KJ15,KL Sentral (KJL),KJ5,Setiawangsa,17
KJ16,Bangsar,KJ5,Setiawangsa,19
KJ17,Abdullah Hukum,KJ5,Setiawangsa,22
KJ18,Kerinchi,KJ5,Setiawangsa,23
KJ19,Universiti,KJ5,Setiawangsa,25
KJ20,Taman Jaya,KJ5,Setiawangsa,29
KJ21,Asia Jaya,KJ5,Setiawangsa,31
KJ22,Taman Paramount,KJ5,Setiawangsa,34
KJ23,Taman Bahagia,KJ5,Setiawangsa,37
KJ24,Kelana Jaya,KJ5,Setiawangsa,39
KJ25,Lembah Subang,KJ5,Setiawangsa,42
KJ26,Ara Damansara,KJ5,Setiawangsa,44
KJ27,Glenmarie,KJ5,Setiawangsa,47
