From_ID,To_ID,Time,Fare
KJ37,KJ8,69,4.3
KG4,KJ8,45,4.7
KG5,KJ8,42,5.3
KG5A,KJ8,37,4.9
KG6,KJ8,35,4.8
KG7,KJ8,31,5.0
KG8,KJ8,29,4.7
KG9,KJ8,27,4.8
KG10,KJ8,25,4.5
KG12,KJ8,21,4.2
KG12A,KJ8,17,4.3
KG13,KJ8,46,3.6
KG14,KJ8,43,3.4
KG15,KJ8,38,2.6
KG16,KJ8,36,2.3
KG17,KJ8,32,2.3
KG18A,KJ8,30,2.6
KG20,KJ8,28,2.9
KG21,KJ8,26,3.3
KG22,KJ8,22,3.3
KG23,KJ8,18,3.8
KG24,KJ8,47,4.0
KG25,KJ8,44,4.3
KG26,KJ8,39,4.7
KG27,KJ8,37,5.2
KG28,KJ8,33,5.1
KG29,KJ8,31,5.4
KG30,KJ8,29,5.5
KG31,KJ8,27,5.5
KG33,KJ8,23,5.9
KG34,KJ8,19,6.1
KG35,KJ8,48,5.7
KJ1,KJ9,21,2.9
KJ2,KJ9,18,2.6
KJ3,KJ9,14,2.5
KJ4,KJ9,12,2.2
KJ5,KJ9,6,1.7
KJ6,KJ9,4,1.5
KJ7,KJ9,3,1.3
KJ8,KJ9,2,1.1
KJ9,KJ9,0,0.0
KJ10,KJ9,1,1.1
KJ11,KJ9,3,1.4
KJ12,KJ9,5,1.6
KJ13,KJ9,7,1.8
KJ14,KJ9,8,2.0
KJ15,KJ9,11,2.4
KJ16,KJ9,13,2.6
KJ17,KJ9,16,2.6
KJ18,KJ9,17,2.9
KJ19,KJ9,19,2.9
KJ20,KJ9,23,3.3
KJ21,KJ9,25,3.1
KJ22,KJ9,28,3.3
KJ23,KJ9,31,3.5
KJ24,KJ9,33,3.7
KJ25,KJ9,36,3.3
KJ26,KJ9,38,3.4
KJ27,KJ9,41,3.6
KJ28,KJ9,42,3.8
KJ29,KJ9,46,3.2
KJ30,KJ9,48,3.3
KJ31,KJ9,51,3.5
KJ32,KJ9,52,3.5
KJ33,KJ9,55,3.7
KJ34,KJ9,57,3.8
KJ35,KJ9,60,3.9
KJ36,KJ9,63,4.1
KJ37,KJ9,67,4.2
KG4,KJ9,43,4.4
KG5,KJ9,40,5.0
KG5A,KJ9,35,4.7
KG6,KJ9,33,4.6
KG7,KJ9,29,4.7
KG8,KJ9,27,4.5
KG9,KJ9,25,4.6
KG10,KJ9,23,4.3
KG12,KJ9,19,4.0
KG12A,KJ9,15,4.0
KG13,KJ9,44,3.4
KG14,KJ9,41,3.2
KG15,KJ9,36,2.4
KG16,KJ9,34,2.0
KG17,KJ9,30,2.0
KG18A,KJ9,28,2.3
KG20,KJ9,26,2.7
KG21,KJ9,24,3.1
KG22,KJ9,20,3.1
KG23,KJ9,16,3.6
KG24,KJ9,45,3.8
KG25,KJ9,42,4.1
KG26,KJ9,37,4.4
KG27,KJ9,35,4.9
KG28,KJ9,31,4.9
KG29,KJ9,29,5.2
KG30,KJ9,27,5.3
KG31,KJ9,25,5.2
KG33,KJ9,21,5.7
KG34,KJ9,17,5.8
KG35,KJ9,46,5.5
KJ1,KJ10,22,3.1
KJ2,KJ10,19,2.8
KJ3,KJ10,15,2.7
KJ4,KJ10,13,2.4
KJ5,KJ10,7,1.8
KJ6,KJ10,5,1.7
KJ7,KJ10,4,1.6
KJ8,KJ10,3,1.3
KJ9,KJ10,1,1.1
KJ10,KJ10,0,0.0
KJ11,KJ10,2,1.1
KJ12,KJ10,4,1.4
KJ13,KJ10,6,1.7
KJ14,KJ10,7,1.9
KJ15,KJ10,10,2.2
KJ16,KJ10,12,2.4
KJ17,KJ10,15,2.7
KJ18,KJ10,16,2.6
KJ19,KJ10,18,2.7
KJ20,KJ10,22,3.2
KJ21,KJ10,24,3.3
KJ22,KJ10,27,3.2
KJ23,KJ10,30,3.4
KJ24,KJ10,32,3.5
KJ25,KJ10,35,3.8
KJ26,KJ10,37,3.3
KJ27,KJ10,40,3.5
KJ28,KJ10,41,3.7
KJ29,KJ10,45,3.1
KJ30,KJ10,47,3.2
KJ31,KJ10,50,3.4
KJ32,KJ10,51,3.5
KJ33,KJ10,54,3.6
KJ34,KJ10,56,3.7
KJ35,KJ10,59,3.9
KJ36,KJ10,62,4.0
KJ37,KJ10,66,4.1
KG4,KJ10,41,4.2
KG5,KJ10,38,4.8
KG5A,KJ10,33,4.5
KG6,KJ10,31,4.4
KG7,KJ10,27,4.5
KG8,KJ10,25,4.3
KG9,KJ10,23,4.4
KG10,KJ10,21,4.1
KG12,KJ10,17,3.8
KG12A,KJ10,13,3.8
KG13,KJ10,42,3.2
KG14,KJ10,39,3.0
KG15,KJ10,34,2.2
KG16,KJ10,32,1.9
KG17,KJ10,28,1.9
KG18A,KJ10,26,2.2
